dt_bin,transition,observed,expected,ratio
0-0.1yr,S -> S,1282,1602.8,0.8
0-0.1yr,S -> notS,72,26.2,2.744
0-0.1yr,notS -> S,22,102.3,0.215
0-0.1yr,notS -> notS,253,1526.7,0.166
0.1-0.25yr,S -> S,1590,2011.6,0.79
0.1-0.25yr,S -> notS,139,78.4,1.772
0.1-0.25yr,notS -> S,51,304.2,0.168
0.1-0.25yr,notS -> notS,310,1785.8,0.174
0.25-0.5yr,S -> S,1459,1769.1,0.825
0.25-0.5yr,S -> notS,160,138.9,1.152
0.25-0.5yr,notS -> S,76,538.2,0.141
0.25-0.5yr,notS -> notS,213,1369.8,0.156
0.5-1yr,S -> S,1690,1891.3,0.894
0.5-1yr,S -> notS,206,253.7,0.812
0.5-1yr,notS -> S,78,989.5,0.079
0.5-1yr,notS -> notS,171,1155.5,0.148
1-2yr,S -> S,1749,1817.0,0.963
1-2yr,S -> notS,256,365.0,0.701
1-2yr,notS -> S,69,1412.5,0.049
1-2yr,notS -> notS,108,769.5,0.14
>2yr,S -> S,2545,2549.2,0.998
>2yr,S -> notS,486,640.8,0.758
>2yr,notS -> S,89,2475.6,0.036
>2yr,notS -> notS,70,714.4,0.098
